Transaction ID;Timestamp;Transaction Type;In/Out;Amount Fiat;Fiat;Amount Asset;Asset;Asset market price;Asset market price currency;Asset class;Product ID;Fee;Fee asset;Spread;Spread Currency;Tax Fiat
T1eed59bb-289d-6a50-5a5b-ad4fea3f63dc;2024-02-27T19:12:02+01:00;buy;outgoing;10.00;EUR;0.09838935;SOL;101.64;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1eed8bc8-fdb7-66c0-09c4-0e178c804375;2024-03-02T18:44:50+01:00;buy;outgoing;15.00;EUR;18.83474599;SEI;0.80;EUR;Cryptocurrency;2987;-;-;-;-;0.00
C1eedaf55-1c51-63ec-a589-2119770f098d;2024-03-05T14:36:06+01:00;withdrawal;outgoing;0;EUR;1.18271853;SOL;0.00;-;Cryptocurrency;135;0.00100000;SOL;-;-;-
C1eedaf88-1694-6232-a2ae-1d7a139d60a0;2024-03-05T14:58:55+01:00;withdrawal;outgoing;0;EUR;193.78682600;ADA;0.00;-;Cryptocurrency;22;0.16417000;ADA;-;-;-
C1eedaf92-96dd-656a-9aaf-c5d8e337ff38;2024-03-05T15:03:37+01:00;withdrawal;outgoing;0;EUR;579.35686852;DOGE;0.00;-;Cryptocurrency;38;2.00000000;DOGE;-;-;-
C1eedaf9d-ffab-6140-8841-e54e4a9e3de8;2024-03-05T15:08:43+01:00;withdrawal;outgoing;0;EUR;83.40556443;MATIC;0.00;-;Cryptocurrency;134;0.11612000;MATIC;-;-;-
T1eedb111-81d3-6b80-a9e0-d957b303c7b6;2024-03-05T17:55:00+01:00;buy;outgoing;10.00;EUR;2.45576147;AKT;4.07;EUR;Cryptocurrency;2629;-;-;-;-;0.00
T1eedb2ae-0580-6bc0-2b23-e2ed7daa5f53;2024-03-05T20:59:32+01:00;buy;outgoing;10.00;EUR;16.35104329;SEI;0.61;EUR;Cryptocurrency;2987;-;-;-;-;0.00
T1eedb2b2-e501-6160-878d-bcc590bf0af8;2024-03-05T21:01:43+01:00;buy;outgoing;10.00;EUR;11.02258299;MATIC;0.91;EUR;Cryptocurrency;134;-;-;-;-;0.00
T1eedb2c5-8d67-6e00-5b5e-420aa4747ef9;2024-03-05T21:10:03+01:00;buy;outgoing;5.00;EUR;37.54322257;KAS;0.13;EUR;Cryptocurrency;2970;-;-;-;-;0.00
T1eee5c07-c8d4-6a60-7365-ca51a84df03b;2024-03-19T08:15:41+01:00;buy;outgoing;30.00;EUR;33.75387169;MATIC;0.89;EUR;Cryptocurrency;134;-;-;-;-;0.00
T1eee5c0a-5e7f-6db0-13a2-4ad11685a69a;2024-03-19T08:16:49+01:00;buy;outgoing;20.00;EUR;35.10579878;ADA;0.57;EUR;Cryptocurrency;22;-;-;-;-;0.00
T1eee5c0b-c2f4-64c0-9a6f-4d6e08867048;2024-03-19T08:17:27+01:00;buy;outgoing;20.00;EUR;5986.50044150;VTHO;0.00;EUR;Cryptocurrency;2645;-;-;-;-;0.00
T1eee5c0f-252a-6c90-e41c-57f32ec12cec;2024-03-19T08:18:57+01:00;buy;outgoing;30.00;EUR;3.53351280;DOT;8.49;EUR;Cryptocurrency;51;-;-;-;-;0.00
T1eee5c18-5663-61a0-527a-8e91e9b878c0;2024-03-19T08:23:04+01:00;buy;outgoing;20.00;EUR;1.23493965;LINK;16.20;EUR;Cryptocurrency;25;-;-;-;-;0.00
T1eee5c19-6470-6670-ae2e-d653f5966518;2024-03-19T08:23:32+01:00;buy;outgoing;20.00;EUR;2.32023963;DOT;8.62;EUR;Cryptocurrency;51;-;-;-;-;0.00
T1eee5c24-e77b-6c30-aa40-6331899aa062;2024-03-19T08:28:42+01:00;buy;outgoing;20.00;EUR;0.37679572;EGLD;53.08;EUR;Cryptocurrency;130;-;-;-;-;0.00
T1eee5c26-84df-6660-a2b9-ed488f7acdc2;2024-03-19T08:29:25+01:00;buy;outgoing;15.00;EUR;12096774.19354838;BTT;0.00;EUR;Cryptocurrency;70;-;-;-;-;0.00
T1eee5c29-33a9-6450-4409-947fafbced22;2024-03-19T08:30:37+01:00;buy;outgoing;20.00;EUR;0.00632038;ETH;3164.37;EUR;Cryptocurrency;5;-;-;-;-;0.00
T1eee5c2b-d3de-63b0-11c0-b6dda3c76e69;2024-03-19T08:31:47+01:00;buy;outgoing;10.00;EUR;277.53593604;VET;0.04;EUR;Cryptocurrency;44;-;-;-;-;0.00
C1eee5eba-80aa-6e00-83e5-db5b896d6f97;2024-03-19T13:24:39+01:00;withdrawal;outgoing;0;EUR;1423.07731709;VET;0.00;-;Cryptocurrency;44;1.00000000;VET;-;-;-
C1eee615a-8116-62c0-8650-514f40f9fafb;2024-03-19T18:25:18+01:00;deposit;incoming;0;EUR;2.00000000;DOT;0.00;-;Cryptocurrency;51;0.00000000;DOT;-;-;-
C1eee61a1-ddf4-69aa-bb31-576b108814af;2024-03-19T18:57:13+01:00;withdrawal;outgoing;0;EUR;7.82375243;DOT;0.00;-;Cryptocurrency;51;0.03000000;DOT;-;-;-
C1eee61e8-87ad-6dac-b3f8-05f8afc14262;2024-03-19T19:28:50+01:00;withdrawal;outgoing;0;EUR;0.03834797;ETH;0.00;-;Cryptocurrency;5;0.00239585;ETH;-;-;-
T1eef9001-c427-6e20-672d-f03785732852;2024-04-12T21:09:00+02:00;buy;outgoing;28.00;EUR;7982.84828026;VTHO;0.00;EUR;Cryptocurrency;2645;-;-;-;-;0.00
T1eef9bb7-69df-6cd0-4b81-38fdf64e4efc;2024-04-13T19:30:05+02:00;buy;outgoing;15.00;EUR;21.64966273;MATIC;0.69;EUR;Cryptocurrency;134;-;-;-;-;0.00
T1eef9bb9-7d45-6660-fd64-e0a3186f5cfe;2024-04-13T19:31:01+02:00;buy;outgoing;28.00;EUR;0.20385199;SOL;137.35;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1eef9e7d-0d6e-6550-a855-689bfa50bfa0;2024-04-14T00:47:35+02:00;buy;outgoing;15.00;EUR;23.42180885;MATIC;0.64;EUR;Cryptocurrency;134;-;-;-;-;0.00
T1eef9e81-1cef-69d0-572f-c415ffd70ed2;2024-04-14T00:49:24+02:00;buy;outgoing;15.00;EUR;1.15221284;LINK;13.02;EUR;Cryptocurrency;25;-;-;-;-;0.00
T1eef9e88-6b71-6b60-f05d-ee985a3a0785;2024-04-14T00:52:40+02:00;buy;outgoing;25.00;EUR;3.99058301;DOT;6.26;EUR;Cryptocurrency;51;-;-;-;-;0.00
T1eef9e96-0a6b-6ba0-4559-ed56b2c4cea8;2024-04-14T00:58:46+02:00;buy;outgoing;10.00;EUR;3054.26512853;VTHO;0.00;EUR;Cryptocurrency;2645;-;-;-;-;0.00
T1ef1e5ab-1af9-69a0-3fad-160712fc53dd;2024-05-30T10:00:39+02:00;buy;outgoing;40.00;EUR;6.04038711;DOT;6.62;EUR;Cryptocurrency;51;-;-;-;-;0.00
T1ef2d469-59ad-6e50-d609-c7329186927a;2024-06-18T09:44:29+02:00;buy;outgoing;25.00;EUR;73.49408704;SEI;0.34;EUR;Cryptocurrency;2987;-;-;-;-;0.00
T1ef2d46a-d31d-66e0-1a6e-2db12f0f4339;2024-06-18T09:45:08+02:00;buy;outgoing;25.00;EUR;4.45334992;DOT;5.61;EUR;Cryptocurrency;51;-;-;-;-;0.00
